edge_id,old_rfc,new_rfc,relation_type,total_citers,cites_old,cites_new,cites_both,takeover_ratio
769,2818,5785,updates,170,158,24,12,0.141200
770,3630,5786,updates,97,97,4,4,0.041200
771,4601,5796,updates,73,69,8,4,0.109600
772,959,5797,updates,111,111,1,1,0.009000
773,4594,5865,updates,32,29,9,6,0.281200
774,2460,5871,updates,338,338,1,1,0.003000
775,3325,5876,updates,50,50,0,0,0.000000
776,5246,5878,updates,394,394,5,5,0.012700
777,1122,5884,updates,283,256,30,3,0.106000
778,3388,5888,obsoletes,46,17,30,1,0.652200
779,4343,5890,updates,111,13,104,6,0.936900
780,3490,5890,obsoletes,165,82,104,21,0.630300
781,3492,5891,updates,75,38,53,16,0.706700
782,3490,5891,obsoletes,120,82,53,15,0.441700
783,3491,5891,obsoletes,79,35,53,9,0.670900
784,2743,5896,updates,64,64,0,0,0.000000
785,4120,5896,updates,60,60,0,0,0.000000
786,1305,5905,obsoletes,193,85,113,5,0.585500
787,4330,5905,obsoletes,121,10,113,2,0.933900
788,3261,5922,updates,546,546,12,12,0.022000
789,2385,5925,obsoletes,138,69,84,15,0.608700
790,1034,5936,updates,379,378,15,14,0.039600
791,1035,5936,updates,434,433,15,14,0.034600
792,5357,5938,updates,43,43,2,2,0.046500
793,4861,5942,updates,196,196,5,5,0.025500
794,3344,5944,obsoletes,72,50,23,1,0.319400
795,2205,5946,updates,211,210,2,1,0.009500
796,4291,5952,updates,254,220,59,25,0.232300
797,3261,5954,updates,547,546,6,5,0.011000
798,5208,5958,obsoletes,33,6,32,5,0.969700
799,1035,5966,updates,433,433,3,3,0.006900
800,1123,5966,updates,200,199,3,2,0.015000
